Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
XSVM,488152208,KELYA ,"495,513","11,966,638.95",1.603,Kelly Services Inc,Common Stock,Industrials,03/13/2024
XSVM,516806205,VTLE ,"222,638","11,334,500.58",1.518,Vital Energy Inc,Common Stock,Energy,03/13/2024
XSVM,46817M107,JXN ,"177,491","10,936,995.42",1.465,Jackson Financial Inc,Common Stock,Financials,03/13/2024
XSVM,G36738105,FDP ,"438,731","10,836,655.70",1.451,Fresh Del Monte Produce Inc,Common Stock,Consumer Staples,03/13/2024
XSVM,98421M106,XRX ,"616,498","10,387,991.30",1.391,Xerox Holdings Corp,Common Stock,Information Technology,03/13/2024
XSVM,806037107,SCSC ,"243,444","10,358,542.20",1.387,ScanSource Inc,Common Stock,Information Technology,03/13/2024
XSVM,233377407,DXPE ,"218,870","10,144,624.50",1.359,DXP Enterprises Inc/TX,Common Stock,Industrials,03/13/2024
XSVM,500255104,KSS ,"392,837","9,934,847.73",1.331,Kohl's Corp,Common Stock,Consumer Discretionary,03/13/2024
XSVM,37247D106,GNW ,"1,543,496","9,785,764.64",1.311,Genworth Financial Inc,Common Stock,Financials,03/13/2024
XSVM,18538R103,CLW ,"235,089","9,772,649.73",1.309,Clearwater Paper Corp,Common Stock,Materials,03/13/2024
XSVM,302301106,EZPW ,"885,406","9,385,303.60",1.257,EZCORP Inc,Common Stock,Financials,03/13/2024
XSVM,08160H101,BHE ,"303,333","9,239,523.18",1.237,Benchmark Electronics Inc,Common Stock,Information Technology,03/13/2024
XSVM,861896108,SNEX ,"136,747","9,215,380.33",1.234,StoneX Group Inc,Common Stock,Financials,03/13/2024
XSVM,393657101,GBX ,"182,934","9,033,280.92",1.210,Greenbrier Cos Inc/The,Common Stock,Industrials,03/13/2024
XSVM,69888T207,PARR ,"236,210","8,881,496.00",1.189,Par Pacific Holdings Inc,Common Stock,Energy,03/13/2024
XSVM,88337F105,ODP ,"166,444","8,570,201.56",1.148,ODP Corp/The,Common Stock,Consumer Discretionary,03/13/2024
XSVM,801056102,SANM ,"133,364","8,551,299.68",1.145,Sanmina Corp,Common Stock,Information Technology,03/13/2024
XSVM,67011P100,DNOW ,"571,342","8,421,581.08",1.128,DNOW Inc,Common Stock,Industrials,03/13/2024
XSVM,034164103,ANDE ,"153,030","8,334,013.80",1.116,Andersons Inc/The,Common Stock,Consumer Staples,03/13/2024
XSVM,023139884,AMBC ,"535,158","8,129,050.02",1.089,Ambac Financial Group Inc,Common Stock,Financials,03/13/2024
XSVM,398905109,GPI ,"30,039","7,998,484.53",1.071,Group 1 Automotive Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,68162K106,ZEUS ,"119,916","7,825,718.16",1.048,Olympic Steel Inc,Common Stock,Materials,03/13/2024
XSVM,129500104,CAL ,"201,409","7,822,725.56",1.048,Caleres Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,67098H104,OI ,"490,048","7,674,151.68",1.028,O-I Glass Inc,Common Stock,Materials,03/13/2024
XSVM,043436104,ABG ,"36,393","7,658,178.99",1.026,Asbury Automotive Group Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,29357K103,ENVA ,"121,979","7,599,291.70",1.018,Enova International Inc,Common Stock,Financials,03/13/2024
XSVM,90346E103,SLCA ,"611,552","7,485,396.48",1.002,US Silica Holdings Inc,Common Stock,Energy,03/13/2024
XSVM,415864107,NVRI ,"912,296","7,471,704.24",1.001,Enviri Corp,Common Stock,Industrials,03/13/2024
XSVM,552676108,MDC ,"118,731","7,452,744.87",0.998,MDC Holdings Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,929566107,WNC ,"269,730","7,390,602.00",0.990,Wabash National Corp,Common Stock,Industrials,03/13/2024
XSVM,12662P108,CVI ,"212,253","7,365,179.10",0.986,CVR Energy Inc,Common Stock,Energy,03/13/2024
XSVM,36162J106,GEO ,"590,486","7,262,977.80",0.973,GEO Group Inc/The,Common Stock,Industrials,03/13/2024
XSVM,G8192H106,SPNT ,"589,416","7,196,769.36",0.964,SiriusPoint Ltd,Common Stock,Financials,03/13/2024
XSVM,G0585R106,AGO ,"79,318","7,190,176.70",0.963,Assured Guaranty Ltd,Common Stock,Financials,03/13/2024
XSVM,824889109,SCVL ,"218,844","7,000,819.56",0.938,Shoe Carnival Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,690732102,OMI ,"279,090","6,996,786.30",0.937,Owens & Minor Inc,Common Stock,Health Care,03/13/2024
XSVM,87265H109,TPH ,"194,570","6,806,058.60",0.912,Tri Pointe Homes Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,86722A103,SXC ,"617,911","6,784,662.78",0.909,SunCoke Energy Inc,Common Stock,Materials,03/13/2024
XSVM,55305B101,MHO ,"52,051","6,762,465.92",0.906,M/I Homes Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,83545G102,SAH ,"128,977","6,732,599.40",0.902,Sonic Automotive Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,128030202,CALM ,"112,471","6,680,777.40",0.895,Cal-Maine Foods Inc,Common Stock,Consumer Staples,03/13/2024
XSVM,156504300,CCS ,"74,661","6,621,684.09",0.887,Century Communities Inc,Common Stock,Consumer Discretionary,03/13/2024
XSVM,01748X102,ALGT ,"93,475","6,548,858.50",0.877,Allegiant Travel Co,Common Stock,Industrials,03/13/2024
XSVM,431571108,HI ,"136,074","6,523,047.38",0.874,Hillenbrand Inc,Common Stock,Industrials,03/13/2024
